imagen,clase,R,G,B,H,S,V,L,a,b,cx,cy,n_pixeles
DSC_0001.NEF,LEU,82,169,159,87,131,169,163,99,125,187,647,11289
DSC_0001.NEF,NIT,207,171,122,17,105,207,184,134,158,187,835,11289
DSC_0001.NEF,URO,177,143,118,13,85,177,158,137,146,187,1023,11289
DSC_0001.NEF,PRO,146,118,39,22,187,146,130,130,174,187,1211,11289
DSC_0001.NEF,pH,95,112,58,39,123,112,114,112,156,187,1399,11289
DSC_0001.NEF,BLO,196,111,56,12,182,196,142,157,172,187,1587,11289
DSC_0001.NEF,SG,170,154,79,25,137,170,162,124,169,187,1775,11289
DSC_0001.NEF,KET,206,149,98,14,134,206,169,144,163,187,1963,11289
DSC_0001.NEF,BIL,170,52,88,171,177,170,104,179,134,187,2151,11289
DSC_0001.NEF,GLU,179,160,138,16,58,179,171,131,142,187,2339,11289
DSC_0002.NEF,LEU,195,182,161,19,44,195,190,129,140,218,404,11289
DSC_0002.NEF,NIT,189,181,169,18,27,189,189,129,135,218,592,11289
DSC_0002.NEF,URO,199,184,153,20,59,199,192,128,146,218,778,11289
DSC_0002.NEF,PRO,188,171,148,17,54,188,181,130,142,218,966,11289
DSC_0002.NEF,pH,170,136,48,22,183,170,149,132,178,218,1152,11289
DSC_0002.NEF,BLO,203,152,60,19,180,203,169,138,182,218,1340,11289
DSC_0002.NEF,SG,201,122,61,13,178,201,150,154,173,218,1526,11289
DSC_0002.NEF,KET,180,161,84,24,136,180,169,125,170,218,1714,11289
DSC_0002.NEF,BIL,211,153,101,14,133,211,173,144,164,218,1900,11289
DSC_0002.NEF,GLU,189,62,107,169,171,189,117,182,130,218,2088,11289
DSC_0003.NEF,LEU,110,172,168,88,92,172,169,107,124,211,611,11289
DSC_0003.NEF,NIT,207,175,141,15,81,207,187,135,150,211,797,11289
DSC_0003.NEF,URO,184,161,140,14,61,184,173,133,142,211,983,11289
DSC_0003.NEF,PRO,111,110,51,30,138,111,116,120,160,211,1169,11289
DSC_0003.NEF,pH,215,150,59,18,185,215,171,144,184,211,1355,11289
DSC_0003.NEF,BLO,198,124,61,14,176,198,150,151,173,211,1541,11289
DSC_0003.NEF,SG,187,167,82,24,143,187,175,124,174,211,1727,11289
DSC_0003.NEF,KET,209,160,103,16,129,209,177,139,165,211,1913,11289
DSC_0003.NEF,BIL,195,183,162,19,43,195,191,129,140,211,2099,11289
DSC_0003.NEF,GLU,183,172,165,12,25,183,181,131,133,211,2285,11289
DSC_0004.NEF,LEU,111,175,175,90,93,175,172,108,122,226,633,11289
DSC_0004.NEF,NIT,207,173,138,15,85,207,186,135,151,226,821,11289
DSC_0004.NEF,URO,183,161,142,14,57,183,173,133,141,226,1009,11289
DSC_0004.NEF,PRO,127,119,58,27,139,127,126,123,162,226,1197,11289
DSC_0004.NEF,pH,200,147,61,19,177,200,165,139,180,226,1385,11289
DSC_0004.NEF,BLO,201,117,65,11,173,201,147,156,170,226,1573,11289
DSC_0004.NEF,SG,182,170,88,26,132,182,176,121,171,226,1761,11289
DSC_0004.NEF,KET,207,159,104,16,127,207,176,139,164,226,1949,11289
DSC_0004.NEF,BIL,193,175,156,15,49,193,185,131,140,226,2137,11289
DSC_0004.NEF,GLU,145,117,136,160,49,145,134,142,122,226,2325,11289
