clase,indice,R,G,B,H,S,V,L,a,b,cx,cy,n_pixeles
LEU,0,239,235,198,27,44,239,236,123,146,94,41,1373
LEU,1,232,221,201,19,34,232,226,128,139,175,41,1373
LEU,2,218,212,196,22,26,218,217,127,137,256,41,1373
LEU,3,231,198,217,163,36,231,212,143,123,337,41,1373
LEU,4,173,159,185,136,36,185,172,138,116,418,41,1373
NIT,0,251,246,224,24,27,251,247,126,139,94,118,1373
NIT,1,253,224,229,175,29,253,234,139,129,175,118,1373
URO,0,251,217,190,13,62,251,227,136,146,94,197,1373
URO,1,247,202,183,9,66,247,216,141,143,175,197,1373
URO,2,240,165,142,7,104,240,190,153,151,256,197,1373
URO,3,216,134,138,179,97,216,165,160,139,337,197,1373
URO,4,225,125,149,173,113,225,163,169,132,418,197,1373
URO,5,232,131,149,175,111,232,169,169,136,499,197,1373
PRO,0,209,229,140,37,99,229,224,108,169,94,276,1373
PRO,1,197,217,120,36,114,217,213,107,173,175,276,1373
PRO,2,173,191,105,36,115,191,190,108,169,256,276,1373
PRO,3,150,166,104,38,95,166,167,112,158,337,276,1373
PRO,4,115,153,104,53,82,153,152,105,150,418,276,1373
PRO,5,69,145,107,75,134,145,139,95,141,499,276,1373
pH,0,235,136,69,12,180,235,169,160,179,94,354,1373
pH,1,243,173,49,19,204,243,193,144,197,175,354,1373
pH,2,232,166,72,18,176,232,186,144,185,256,354,1373
pH,3,182,169,11,28,240,182,174,118,197,337,354,1373
pH,4,144,149,82,32,115,149,153,116,163,418,354,1373
pH,5,57,121,97,79,135,121,118,101,135,499,354,1373
pH,6,12,108,104,89,227,108,104,102,123,580,354,1373
BLO,0,237,210,71,25,179,237,215,123,197,94,432,1373
BLO,1,196,190,66,29,169,196,192,115,189,175,432,1373
BLO,2,184,156,21,25,226,184,166,126,193,256,432,1373
BLO,3,115,119,68,32,109,119,124,118,156,337,432,1373
BLO,4,77,89,39,37,143,89,91,114,155,418,432,1373
BLO,5,238,163,8,20,246,238,185,146,203,499,432,1373
BLO,6,187,184,68,29,162,187,187,115,185,580,432,1373
SG,0,16,67,48,79,194,67,63,105,135,94,510,1373
SG,1,77,89,39,37,143,89,91,114,155,175,510,1373
SG,2,115,119,68,32,109,119,124,118,156,256,510,1373
SG,3,133,137,76,32,114,137,142,117,160,337,510,1373
SG,4,147,128,7,26,243,147,137,124,186,418,510,1373
SG,5,162,155,38,28,195,162,160,117,186,499,510,1373
SG,6,216,181,17,25,235,216,190,127,203,580,510,1373
KET,0,241,174,147,9,99,241,196,149,152,94,589,1373
KET,1,234,154,147,2,95,234,182,157,144,175,589,1373
KET,2,218,135,127,3,106,218,165,159,146,256,589,1373
KET,3,203,114,106,2,122,203,148,162,148,337,589,1373
KET,4,148,80,105,169,117,148,109,159,126,418,589,1373
KET,5,109,52,84,163,133,109,77,158,120,499,589,1373
BIL,0,252,231,174,22,79,252,235,127,158,94,667,1373
BIL,1,247,200,156,15,94,247,214,139,156,175,667,1373
BIL,2,195,164,133,15,81,195,177,135,148,256,667,1373
BIL,3,172,142,132,8,59,172,157,138,138,337,667,1373
GLU,0,151,208,199,85,70,208,203,108,127,94,745,1373
GLU,1,130,198,151,69,88,198,190,97,145,175,745,1373
GLU,2,106,173,78,51,140,173,165,89,170,256,745,1373
GLU,3,147,128,7,26,243,147,137,124,186,337,745,1373
GLU,4,151,104,50,16,171,151,122,141,165,418,745,1373
GLU,5,125,79,45,13,163,125,97,144,156,499,745,1373
