imagen,clase,R,G,B,H,S,V,L,a,b,cx,cy,n_pixeles
DSC_9932.png,LEU,212,197,168,20,53,212,204,129,144,1697,2930,6361
DSC_9932.png,NIT,218,204,167,22,60,218,210,127,148,1689,2741,6361
DSC_9932.png,URO,231,183,104,19,140,231,197,136,174,1686,2551,6361
DSC_9932.png,PRO,195,182,90,26,137,195,187,121,176,1684,2362,6361
DSC_9932.png,pH,210,151,63,18,179,210,170,142,181,1667,2172,6361
DSC_9932.png,BLO,236,168,53,19,198,236,188,143,193,1665,1983,6361
DSC_9932.png,SG,145,122,44,23,178,145,133,128,172,1670,1793,6361
DSC_9932.png,KET,195,160,134,13,80,195,174,137,146,1655,1604,6361
DSC_9932.png,BIL,218,189,130,20,103,218,199,130,162,1654,1414,6361
DSC_9932.png,GLU,95,174,178,91,119,178,170,105,118,1636,1226,6361
DSC_9933.png,LEU,210,196,171,19,47,210,203,129,142,1608,2902,6625
DSC_9933.png,NIT,213,201,169,22,53,213,207,127,146,1603,2710,6625
DSC_9933.png,URO,228,181,108,18,134,228,195,136,171,1624,2516,6625
DSC_9933.png,PRO,198,181,84,26,147,198,187,122,179,1623,2323,6625
DSC_9933.png,pH,211,142,60,16,182,211,165,147,181,1618,2130,6625
DSC_9933.png,BLO,38,80,66,80,134,80,79,109,132,1599,1937,6625
DSC_9933.png,SG,130,116,47,25,163,130,125,124,167,1618,1744,6625
DSC_9933.png,KET,199,164,136,13,81,199,178,137,147,1610,1551,6625
DSC_9933.png,BIL,224,194,139,19,97,224,204,131,160,1604,1358,6625
DSC_9933.png,GLU,93,188,203,94,138,203,182,104,112,1598,1165,6625
DSC_9937.png,LEU,232,222,209,17,25,232,227,129,136,1621,2959,5789
DSC_9937.png,NIT,241,233,211,22,32,241,236,127,140,1639,2768,5789
DSC_9937.png,URO,255,202,133,17,122,255,216,139,170,1636,2576,5789
DSC_9937.png,PRO,217,210,107,28,129,217,211,117,179,1634,2385,5789
DSC_9937.png,pH,239,161,61,17,190,239,185,149,189,1630,2193,5789
DSC_9937.png,BLO,39,103,82,80,158,103,100,102,134,1613,2002,5789
DSC_9937.png,SG,147,135,57,26,156,147,143,122,171,1641,1810,5789
DSC_9937.png,KET,223,188,169,11,62,223,201,138,142,1626,1619,5789
DSC_9937.png,BIL,255,219,160,19,95,255,227,133,162,1624,1427,5789
DSC_9937.png,GLU,101,223,237,93,146,237,211,98,111,1616,1236,5789
DSC_9938.png,LEU,245,236,219,20,27,245,239,128,137,1673,2948,5789
DSC_9938.png,NIT,253,247,220,25,33,253,248,126,142,1679,2759,5789
DSC_9938.png,URO,255,206,129,18,126,255,218,136,173,1664,2570,5789
DSC_9938.png,PRO,225,219,114,28,126,225,219,116,180,1670,2381,5789
DSC_9938.png,pH,242,178,70,19,181,242,196,141,190,1663,2192,5789
DSC_9938.png,BLO,255,197,73,20,182,255,211,137,195,1660,2003,5789
DSC_9938.png,SG,164,145,62,24,159,164,154,125,174,1678,1814,5789
DSC_9938.png,KET,233,197,180,10,58,233,210,138,141,1665,1625,5789
DSC_9938.png,BIL,255,236,186,22,69,255,239,127,155,1659,1436,5789
DSC_9938.png,GLU,116,229,244,94,134,244,217,100,111,1648,1247,5789
DSC_9939.png,LEU,242,230,217,16,26,242,235,130,136,1843,2932,6077
DSC_9939.png,NIT,249,240,212,23,38,249,242,126,143,1841,2740,6077
DSC_9939.png,URO,255,203,128,18,127,255,216,138,172,1836,2548,6077
DSC_9939.png,PRO,218,214,111,29,125,218,215,115,179,1833,2356,6077
DSC_9939.png,pH,255,163,76,15,179,255,191,155,186,1830,2164,6077
DSC_9939.png,BLO,255,187,64,19,191,255,205,142,196,1822,1972,6077
DSC_9939.png,SG,189,150,49,22,189,189,163,132,184,1833,1780,6077
DSC_9939.png,KET,234,188,161,11,80,234,203,141,148,1827,1588,6077
DSC_9939.png,BIL,255,191,117,16,138,255,209,143,174,1820,1396,6077
DSC_9939.png,GLU,108,228,244,94,142,244,216,99,110,1819,1204,6077
DSC_9940.png,LEU,235,217,200,15,38,235,224,131,139,1835,2876,5789
DSC_9940.png,NIT,252,242,211,23,41,252,244,126,144,1807,2689,5789
DSC_9940.png,URO,255,205,131,18,124,255,218,137,171,1830,2501,5789
DSC_9940.png,PRO,215,212,110,29,125,215,212,115,178,1831,2314,5789
DSC_9940.png,pH,254,175,82,16,173,254,198,148,186,1835,2126,5789
DSC_9940.png,BLO,255,189,75,19,180,255,206,141,192,1834,1939,5789
DSC_9940.png,SG,166,148,65,25,155,166,157,124,173,1850,1751,5789
DSC_9940.png,KET,234,193,168,11,72,234,207,139,146,1845,1564,5789
DSC_9940.png,BIL,255,225,168,20,87,255,232,130,160,1836,1376,5789
DSC_9940.png,GLU,111,229,238,92,136,238,216,97,113,1840,1189,5789
DSC_9941.png,LEU,242,216,201,11,43,242,225,135,139,1567,2896,6077
DSC_9941.png,NIT,226,75,127,170,170,226,140,190,132,1586,2707,6077
DSC_9941.png,URO,255,206,130,18,125,255,218,136,172,1582,2518,6077
DSC_9941.png,PRO,214,210,112,29,122,214,211,116,177,1583,2329,6077
DSC_9941.png,pH,255,166,79,15,176,255,193,153,185,1581,2140,6077
DSC_9941.png,BLO,225,176,73,20,172,225,190,135,186,1578,1951,6077
DSC_9941.png,SG,196,155,63,21,173,196,169,133,180,1569,1762,6077
DSC_9941.png,KET,228,187,161,12,75,228,201,139,147,1586,1573,6077
DSC_9941.png,BIL,255,184,118,14,137,255,204,147,171,1572,1384,6077
DSC_9941.png,GLU,88,222,242,94,162,242,210,98,107,1573,1195,6077
DSC_9942.png,LEU,222,198,217,156,28,222,210,140,122,1636,2958,6077
DSC_9942.png,NIT,254,243,192,25,62,254,244,124,154,1605,2768,6077
DSC_9942.png,URO,255,209,128,19,127,255,220,134,174,1627,2576,6077
DSC_9942.png,PRO,218,209,104,28,133,218,211,117,181,1624,2385,6077
DSC_9942.png,pH,221,185,84,22,158,221,195,130,183,1624,2194,6077
DSC_9942.png,BLO,255,194,71,20,184,255,209,138,195,1613,2003,6077
DSC_9942.png,SG,151,144,65,28,145,151,150,120,170,1621,1812,6077
DSC_9942.png,KET,232,196,172,12,66,232,208,137,145,1603,1621,6077
DSC_9942.png,BIL,255,230,177,20,78,255,235,129,157,1601,1430,6077
DSC_9942.png,GLU,114,218,194,83,122,218,205,92,130,1587,1239,6077
DSC_9943.png,LEU,240,226,216,13,26,240,231,131,135,1635,2900,6077
DSC_9943.png,NIT,250,242,213,24,38,250,244,126,143,1631,2711,6077
DSC_9943.png,URO,255,209,141,18,114,255,220,136,168,1622,2522,6077
DSC_9943.png,PRO,222,215,110,28,129,222,216,117,180,1617,2333,6077
DSC_9943.png,pH,253,167,77,15,177,253,193,152,186,1605,2143,6077
DSC_9943.png,BLO,255,189,70,19,185,255,206,141,194,1597,1954,6077
DSC_9943.png,SG,148,143,87,28,105,148,150,121,159,1612,1763,6077
DSC_9943.png,KET,235,198,173,12,67,235,210,137,145,1588,1575,6077
DSC_9943.png,BIL,255,227,176,19,79,255,233,130,156,1579,1385,6077
DSC_9943.png,GLU,112,227,242,93,137,242,215,99,111,1569,1197,6077
DSC_9944.png,LEU,244,233,218,17,27,244,237,129,137,1599,2944,5789
DSC_9944.png,NIT,250,238,213,20,38,250,241,128,142,1593,2755,5789
DSC_9944.png,URO,255,206,130,18,125,255,218,136,172,1591,2565,5789
DSC_9944.png,PRO,213,212,109,30,125,213,212,114,179,1585,2376,5789
DSC_9944.png,pH,210,180,74,23,165,210,189,127,184,1584,2186,5789
DSC_9944.png,BLO,255,194,72,20,183,255,209,138,195,1590,1997,5789
DSC_9944.png,SG,152,138,62,25,151,152,146,123,170,1590,1807,5789
DSC_9944.png,KET,230,195,173,12,63,230,207,137,144,1581,1618,5789
DSC_9944.png,BIL,255,225,165,20,90,255,231,130,161,1578,1428,5789
DSC_9944.png,GLU,122,229,241,93,126,241,218,100,113,1569,1239,5789
DSC_9946.png,LEU,238,225,213,14,27,238,230,130,135,1604,2870,5525
DSC_9946.png,NIT,248,232,206,19,43,248,236,129,143,1609,2680,5525
DSC_9946.png,URO,255,198,120,17,135,255,213,139,175,1598,2490,5525
DSC_9946.png,PRO,167,192,117,40,100,192,190,107,163,1592,2300,5525
DSC_9946.png,pH,50,107,109,91,138,109,106,110,121,1581,2110,5525
DSC_9946.png,BLO,255,186,65,19,190,255,204,142,196,1581,1920,5525
DSC_9946.png,SG,50,82,98,100,125,98,85,121,115,1564,1730,5525
DSC_9946.png,KET,233,192,166,12,73,233,206,139,147,1585,1540,5525
DSC_9946.png,BIL,255,179,114,14,141,255,201,149,172,1578,1350,5525
DSC_9946.png,GLU,109,226,236,92,137,236,214,98,113,1586,1160,5525
DSC_9948.png,LEU,190,181,167,18,31,190,189,129,136,1668,2907,5789
DSC_9948.png,NIT,195,188,164,23,41,195,195,126,141,1669,2718,5789
DSC_9948.png,URO,211,161,106,16,127,211,178,140,164,1695,2529,5789
DSC_9948.png,PRO,122,143,94,43,87,143,145,112,152,1687,2340,5789
DSC_9948.png,pH,196,126,53,15,186,196,150,149,177,1684,2151,5789
DSC_9948.png,BLO,193,142,52,19,186,193,159,139,181,1680,1962,5789
DSC_9948.png,SG,111,104,49,27,142,111,111,123,159,1692,1773,5789
DSC_9948.png,KET,176,145,132,9,64,176,160,138,139,1677,1584,5789
